Module name,Module size,Number of CN,Number of RN,Number of axioms
FemalePelvicCavity,6134,5813,316,30232
InfantUnderThreeMonths,134,89,40,380
Asthenia,174,113,56,510
OnchocercaCervicalis,124,79,40,378
HarringtonRod,6141,5820,316,30257
NAMEDEndocrineSystemDiseaseProcess,6135,5814,316,30236
ImplantingForDrugAdministration,121,60,56,312
FolinicAcid,31,17,10,69
SquamousPartOfTemporalBone,6134,5813,316,30232
TibialNerve,6135,5814,316,30245
LevocabastineHydrochloride,42,24,14,98
AlcoholIntoxication,6418,6083,330,31382
ClinicalElectrodefibrillation,6143,5820,318,30261
spansuleDrugForm,18,14,0,42
DeepPressureSignal,6140,5819,316,30255
PelvicSmoothMuscleStructure,6134,5813,316,30232
StableAngina,6395,6058,332,31295
GreaterCurvatureOfStomach,6135,5814,316,30235
UndecenoateChemical,59,22,32,131
Exudate,108,57,46,293
VaginalExamination,6275,5954,316,30807
IdiopathicLesionProcess,46,25,16,120
ExternalEar,6134,5813,316,30232
Ketorolac,41,23,14,95
NonNormallyLargeJawSymptom,6231,5900,326,30601
AmbientTemperature,52,23,24,121
Gastropod,80,49,26,211
TesticularMaldescent,6274,5941,328,30803
NasalPathology,6134,5813,316,30232
InflammationProcess,47,26,16,125
FishOilExtract,168,95,68,464
LacrimoconchalSuture,6134,5813,316,30232
PulmonaryHypertension,6139,5818,316,30252
PerforatedSubstance,6134,5813,316,30232
TransientIncrease,66,33,28,170
AlterationsInRespiratoryFunction,6136,5815,316,30239
CorBiloculare,6135,5814,316,30235
HypertrophicLesion,131,76,50,417
Oshape,19,15,0,45
ArmOedemaSymptom,6178,5857,316,30411
PhenobarbitoneSodium,75,34,36,177
BodyWeightWithIncreasingTrend,6166,5837,324,30353
DrugFormulationFeature,15,10,0,31
GranulomatousHepatitis,6272,5949,318,30787
LobeOfPituitaryGland,6134,5813,316,30232
ChangedFeature,41,16,20,97
RestrictiveVentricularSeptalDefect,6296,5963,328,30900
BreastTenderness,6231,5910,316,30634
Paper,61,28,28,149
DistalPartOfFemur,6134,5813,316,30232
CarbinoxamineMaleate,41,23,14,95
VaginalBleeding,6180,5859,316,30428
DrugSideEffect,33,18,10,72
BNFChapter9_2_2Section,67,38,24,183
Aceclofenac,77,36,36,186
BuiltStructure,30,16,10,67
PrecordialPain,6231,5910,316,30634
BariumFollowThrough,139,72,62,360
Precipitating,13,8,0,24
MayBleachFabric,16,11,0,34
StrongylusEdentatus,125,80,40,380
ImmunoglobulinA,105,64,36,306
LumboSacralSpine,6134,5813,316,30232
ImmunoglobulinD,105,64,36,306
ExerciseIntolerance,76,39,32,195
ImmunoglobulinE,105,64,36,306
AnteriorInferiorPancreaticoduodenalArtery,6134,5813,316,30232
ImmunoglobulinG,105,64,36,306
TelangiectasiaLymphatica,6286,5951,330,30818
MonounsaturatedFat,32,18,10,72
above,17,13,0,39
VaginalDelivery,298,187,106,906
ImpairedFertility,73,40,28,197
AcuteAnteroseptalMyocardialInfarction,6172,5849,318,30383
CapsuleOfSternoclavicularJoint,6134,5813,316,30232
Oxyphenisatin,41,23,14,95
ImmunoglobulinM,105,64,36,306
SeventhIntercostalSpace,6134,5813,316,30232
Noradrenaline,31,17,10,69
DisorderedMemory,6138,5817,316,30249
NegativeBloodCulture,6362,6015,342,31237
OcularRotatoryMuscle,6134,5813,316,30232
Bruit,6136,5815,316,30239
UterineCervixRoute,6244,5923,316,30676
PrednisoloneHexanoate,78,37,36,189
lessThan33Percent,22,18,0,53
PelvicInflammatoryDisease,6288,5967,316,30857
HalofantrineHydrochloride,41,23,14,95
BaroreceptorCell,6169,5844,320,30364
TransversusAbdominisMuscle,6134,5813,316,30232
CefadroxilMonohydrate,79,38,36,191
Arachnida,79,48,26,208
SymptomaticHyperuricaemia,6199,5868,326,30471
bodyCentralSelection,15,11,0,32
AcidBaseReaction,114,47,62,289
PosteriorHornOfMedialMensicus,6143,5822,316,30273
Lymph,6136,5815,316,30241
NasolacrimalDuct,6134,5813,316,30232
Office,33,19,10,77
Induration,55,28,22,141
Podophyllotoxin,41,23,14,95
TobaccoSmoking,6257,5936,316,30724
OrbitalFat,6145,5824,316,30275
Zotepine,41,23,14,95
NAMEDProcess,10,5,0,15
LinearStructure,64,29,30,158
TotalGlobulin,6181,5858,318,30417
FrequentAdministration,11,6,0,18
BranchOfTrigeminalNerve,6134,5813,316,30232
SpinalSectionOfMeningealSpace,6134,5813,316,30232
Cotton,58,32,22,138
SymptomOfMentalIllness,178,113,60,529
RheumaticFeverWithCardiacInvolvement,6146,5825,316,30278
DisorderOfSinusRhythm,6149,5828,316,30294
TensortympaniMuscle,6134,5813,316,30232
ZollingerEllisonSyndrome,6211,5880,326,30522
QuinoloneGroup,31,17,10,70
SkinOfParietalScalp,6134,5813,316,30232
PresynapticNeurone,6143,5822,316,30267
AbnormallyHighPitchSpeechSymptom,230,139,86,677
CoxiellaBurnetii,111,66,40,306
Somatostatin,6134,5813,316,30232
SplanchnicGanglion,6136,5815,316,30242
Trisomy7Karyotype,44,26,14,107
SupportingDevice,51,24,22,120
OestradiolHemihydrate,89,48,36,230
ReducedFertility,73,40,28,197
ExocrineGland,181,102,74,502
dirty,16,12,0,36
AdequateQualityDiseaseControl,83,40,38,208
Serotonin,30,16,10,66
FlupenthixolDecanoate,74,33,36,175
ParsCompacta,6134,5813,316,30232
Gnetum,79,48,26,207
PosteriorChamberOfEye,6134,5813,316,30232
UnstableTearFilm,6136,5815,316,30238
TaeniaSaginata,127,82,40,386
Photography,14,9,0,27
MapleBarkStripperRole,11,7,0,20
Frankelia,121,76,40,368
Usefulness,13,9,0,27
RetroVirus,75,44,26,196
Hirudo,122,77,40,370
DryThroatSymptom,6164,5841,318,30351
DeepVeinOfUpperExtremity,6134,5813,316,30232
Orcinus,86,55,26,229
AnteriorEthmoidalArtery,6134,5813,316,30232
DisturbanceOfPeripheralCirculation,6144,5823,316,30276
VenousPlexus,6134,5813,316,30232
BladderSpasm,6239,5916,318,30656
Agonising,14,9,0,27
AorticValveCusp,6134,5813,316,30232
BiphasicIsophaneInsulin,6160,5839,316,30333
MustardeMethod,33,18,10,71
Lipopolysaccharide,41,19,18,90
DorsalVenousPlexusOfHand,6135,5814,316,30237
CervicoThoracicSpine,6134,5813,316,30232
LesserOccipitalNerve,6135,5814,316,30236
KidneyPalpationExamination,6281,5960,316,30830
ChorionicGonadotrophinDrug,41,23,14,95
ReboxetineMethanesulphonate,42,24,14,98
SecondToe,6134,5813,316,30232
DimensionDecreasingProcess,14,9,0,27
Xipamide,74,33,36,174
InsulinZincCrystallineHuman,6162,5841,316,30339
SmoothMuscleContractionProcess,6217,5894,318,30565
NonNormallyLargeHand,6231,5900,326,30601
Electrocoagulation,14,9,0,27
CardioVirus,76,45,26,199
LymphnodeOfHead,6134,5813,316,30232
LiquidGasBasicDrugForm,59,24,30,136
CisternaPontis,6134,5813,316,30232
TorsionDystonia,6245,5920,320,30677
Thoracostomy,6214,5891,318,30553
PipotiazinePalmitate,75,34,36,177
Kit,31,17,10,70
PrednisoloneAcetate,78,37,36,189
Asystole,6298,5965,328,30876
LowerEsophagealSphincter,6134,5813,316,30232
OvarianArtery,6134,5813,316,30232
Cornea,6134,5813,316,30232
Commelinidae,79,48,26,207
Permethrin,41,23,14,95
ApexOfNose,6134,5813,316,30232
AnteriorUvea,6134,5813,316,30232
DilationOfCervicalOs,186,117,64,572
Rocuronium,41,23,14,95
Acetazolamide,41,23,14,95
SurfaceCoating,31,17,10,70
AkathisiaSymptom,6136,5815,316,30240
moreThanFive,12,8,0,23
PulmonaryFibrosis,6160,5839,316,30336
JointOfThorax,6134,5813,316,30232
ChronicEpiduralHaematoma,6202,5877,320,30504
BCellLymphoma,6215,5890,320,30563
bitterTasting,15,11,0,33
toroidal,18,14,0,42
AnteriorHornOfLateralMensicus,6143,5822,316,30273
LymphoidCell,6135,5814,316,30235
Cheirogaleidae,86,55,26,231
SwensonMethod,33,18,10,71
SkinOfFifthToe,6134,5813,316,30232
SignalChangingProcess,13,8,0,24
HbA1c,6152,5829,318,30296
Lamustine,74,33,36,174
CavalLymphnode,6134,5813,316,30232
Echoics,15,10,0,30
SodiumValproate,91,46,40,235
EpiploicForamen,100,61,34,283
LeftVentricularStructure,6134,5813,316,30232
Burning,13,8,0,24
Toxoplasma,121,76,40,368
AscendingBranchOfLeftColicArtery,6134,5813,316,30232
decagonal,20,15,0,46
DrugChemicalGroup,30,16,10,67
IliacBursa,6136,5815,316,30243
HydrogenPeroxide,30,16,10,66
atLeastPartiallySpecified,10,6,0,17
Ethambutol,41,23,14,95
Scytalidium,114,69,40,315
Didanosine,41,23,14,95
MonitorRenalFunction,6136,5815,316,30238
BronchoVesicularBreathSound,6260,5939,316,30742
NeuralPathway,6134,5813,316,30232
HepaticImpairment,6187,5856,326,30432
UltrasonicBloodFlowDetector,6147,5824,318,30275
Exchanging,13,8,0,25
PsychologicalDisorder,45,24,16,118
SuperiorMesentericPlexus,6135,5814,316,30236
Mineralocorticoid,37,19,14,82
ElectricalConductivity,14,10,0,30
NAMEDSymphysis,6134,5813,316,30232
ModerateQualityOfLife,62,27,30,149
markedlyIncreasedLevel,41,18,18,96
GlobulomaxillaryCyst,6154,5833,316,30319
OatGrain,60,34,22,144
PathologicalRaisedSerumFructosamineConcentration,6189,5860,324,30436
Gonad,285,178,102,862
WallOfStomachToDuodenum,6134,5813,316,30232
ParasympatheticSympatheticStatus,11,7,0,20
PriapismSymptom,6138,5817,316,30248
TrichinellaSpiralis,124,79,40,377
BiologicalValveProsthesis,196,127,64,577
PeripheralTissue,161,94,62,460
DeepBranchOfUlnarNerve,6134,5813,316,30232
Asteridae,79,48,26,207
Compounding,14,9,0,27
PsoasMajorMuscle,6134,5813,316,30232
ColitisLesion,6263,5942,316,30757
SystemicCapillary,6234,5903,326,30611
HistoryOfPsychosis,6148,5823,320,30290
Pigment,52,21,26,117
toward,15,11,0,33
Coitus,32,17,10,69
Metronidazole,75,34,36,177
PapillaryMuscle,6134,5813,316,30232
ArachisOil,58,32,22,138
CoffeeWorkerRole,11,7,0,20
Theophylline,74,33,36,174
TympanicMembraneExamination,6275,5954,316,30807
moderatelyDecreasedLevel,41,18,18,97
NocturnalPain,6238,5917,316,30659
SelfNeglectAct,55,24,26,131
FemaleSpecificSymptom,146,89,52,405
Mitosis,80,39,36,204
NucleicAcid,40,22,14,92
InfraHepaticInferiorVenaCava,6134,5813,316,30232
PseudomonasCepacia,242,151,86,725
ConjunctivalInflammation,6263,5942,316,30757
ComponentOfInnerEar,6134,5813,316,30232
VaginalPlexus,6135,5814,316,30235
OleicAcid,33,19,10,75
GreatVessel,6134,5813,316,30232
MezlocillinSodium,76,35,36,180
lessThanSix,18,14,0,41
ThrombosisProcess,6155,5834,316,30319
PosteriorDeepTemporalArtery,6136,5815,316,30238
Epicondyle,6134,5813,316,30232
HighRightHeartVentricle,6134,5813,316,30232
RiskOfDeliberateSelfHarm,101,54,42,288
GermCellTumour,164,95,64,513
Naferelin,74,33,36,174
SystemicToPulmonaryArterialShuntLesion,6139,5818,316,30252
primiParous,15,11,0,33
BuccalLymphnode,6134,5813,316,30232
LymphoidTonsil,6134,5813,316,30232
Micrognathia,6231,5900,326,30597
OBloodGroupTestResult,6370,6023,342,31264
PlexusVenosusVertebralisExternusAnterior,6137,5816,316,30242
Ergosterol,63,26,32,144
TrabeculaSeptomarginalis,6134,5813,316,30232
PituitarySecretion,6134,5813,316,30232
Molgramostim,145,78,62,389
NonDermatophyteFungus,111,66,40,306
LigamentOfHeadOfFemur,6136,5815,316,30241
multifactorial,16,12,0,36
T1Dermatome,6134,5813,316,30232
AmbiguousGonad,295,184,106,892
HypoplasticMyocardium,6157,5834,318,30322
TumourHistology,15,11,0,33
GlutealMuscle,6136,5815,316,30243
Perfusing,14,9,0,27
AutoTransplanting,85,44,36,225
RiskOfVenousThromboembolism,6175,5854,316,30403
OculomotorPalsy,6263,5930,328,30756
HipJoint,6134,5813,316,30232
Bambvuterine,41,23,14,95
Partnership,12,8,0,23
Blindness,6263,5930,328,30756
UltrasonographyMachine,57,30,22,137
CytotoxicProcess,11,6,0,18
FusiformGyrus,6135,5814,316,30235
CefpiromeSulphate,76,35,36,180
AtrialDilatation,181,112,64,555
LungFissure,6141,5820,316,30261
TerbinafineHydrochloride,75,34,36,177
ButethamateCitrate,41,23,14,95
GeneralSurgeryProcedure,77,30,42,181
RenalSuperiorSegmentalArtery,6134,5813,316,30232
distantPast,17,13,0,39
Mediastinoscopy,6207,5878,324,30506
ZincBacitracin,92,47,40,237
Surfactant,6135,5814,316,30237
ItchingWheal,6143,5822,316,30273
PalpableFootPulse,6289,5960,324,30851
AuralDischargeSymptom,6155,5834,316,30323
AntebrachialFascia,6135,5814,316,30235
secondLineDrugIndication,14,10,0,29
MuscleOfPosteriorCompartmentOfThigh,6134,5813,316,30232
Mineralization,13,8,0,24
contralateralSelection,16,12,0,35
BNFChapter1_9Section,62,33,24,160
DicobaltEdcetate,43,24,14,99
Muscle,6134,5813,316,30232
ThrombusLesion,6155,5834,316,30319
Tachypnoea,6282,5953,324,30816
UrineGlucose,6151,5828,318,30293
Buttock,6134,5813,316,30232
Fragrance,39,21,14,88
BNFSection7_3_2_1,66,37,24,179
BNFSection7_3_2_2,66,37,24,179
Inositol,41,23,14,95
BNFSection7_3_2_3,66,37,24,179
BNFChapter8_1Section,63,34,24,165
Prostaglandin,42,24,14,98
BeardAreaSkin,6135,5814,316,30235
InterferonAsDrug,43,25,14,102
CentralNerve,6134,5813,316,30232
SubtarsalSulcus,58,38,16,157
CerebellarAtrophy,6175,5852,318,30392
ReactivationOfHerpesZoster,192,119,68,608
NitroimidazoleChemicalAsDrug,72,31,36,167
Sterilisability,13,9,0,27
Dextran70,104,55,44,277
FifthCostalCartilage,6134,5813,316,30232
ThenarEminence,48,30,14,124
NonNormalSizedLipSymptom,6177,5852,320,30393
PinealGland,6134,5813,316,30232
AnteriorTricuspidPapillaryMuscle,6134,5813,316,30232
ProximalDistalPosition,13,9,0,27
PsychologicalProcess,142,85,52,388
Linsang,87,56,26,232
Lagenorhynchus,86,55,26,229
Heterophyes,123,78,40,374
RightUpperLateralIncisor,6141,5820,316,30259
TransientHypertension,6155,5830,320,30304
SphenoSquamousSuture,6134,5813,316,30232
TemporalState,14,10,0,30
SeptumInHeart,6134,5813,316,30232
NasopharyngealMeatus,6134,5813,316,30232
latentStage,18,14,0,42
HalfOfTibialInterCondylarEminence,6134,5813,316,30232
AerosolPowderBasicDrugForm,61,26,30,143
SalicylateChemical,31,17,10,69
SternocostalSurfaceOfHeart,6134,5813,316,30232
FascialCompartmentOfArm,6134,5813,316,30232
ArticularProcessOfAxis,6134,5813,316,30232
Dextran40,104,55,44,277
PediculusCorporis,85,54,26,230
EchinococcusGranulosus,127,82,40,386
Sulphadiazine,74,33,36,174
TestosteroneEnanthate,85,44,36,216
PosteriorTibioFibularLigament,6136,5815,316,30238
SuperiorBorderOfRib,6134,5813,316,30232
ThirdPlantarInterosseusMuscleOfFoot,6134,5813,316,30232
MyocardialDegeneration,6146,5825,316,30280
ParietalLobeSubarachnoidSpace,6134,5813,316,30232
FemoralPlexus,6135,5814,316,30235
AtrioventricularBlock,6263,5930,328,30756
LateralityChangeInPositionState,16,12,0,36
BuccalLeukoplakia,6144,5823,316,30271
Bipolaris,114,69,40,315
Botrytis,114,69,40,315
MedialArcuateLigament,6135,5814,316,30235
Ether,31,17,10,69
JellyBasicDrugForm,63,28,30,150
HeteroplasticLesion,131,76,50,417
GoodpastureSyndrome,6352,6025,322,31110
EdwardSyndrome,47,26,16,123
SerratiaMarcescens,238,149,84,714
ineffective,15,11,0,33
FemoralKneeJointSurfaces,6137,5816,316,30245
Etonogestrel,85,44,36,215
ParalyticIleus,6543,6202,336,31886
LumbarScoliosis,6147,5826,316,30281
ComponentOfDuodenum,6134,5813,316,30232
Splint,52,25,22,123
SmoothSurfaceOfAnteriorTooth,6167,5844,318,30380
UntreatedUrinaryTractInfection,6170,5847,318,30369
DistalCarpalRow,6134,5813,316,30232
ClinicalInterventionProcess,25,10,10,45
NormalAnatomicalCavity,89,46,38,233
ColumnOfSpinalCord,6134,5813,316,30232
HorizontalFissure,41,25,12,102
ImplantableSupportRingProsthesis,98,53,40,258
AssessmentOfDrugResponse,149,76,68,388
BNFSection4_8_2,64,35,24,169
BNFSection4_8_1,64,35,24,169
BodySystemPathology,42,21,16,99
BNFSection4_8_3,64,35,24,169
MucousEpithelium,6134,5813,316,30232
Fibreoptics,15,10,0,30
FrontalLobeMeningealSpace,6134,5813,316,30232
TreponemaPallidumBiotypePertenue,240,151,84,721
SacralGanglion,6134,5813,316,30232
Street,33,19,10,76
SubFrontalApproach,6252,5931,316,30707
CerebroSpinalFluid,6134,5813,316,30232
NasolabialCyst,6154,5833,316,30319
Status,9,5,0,14
SelfImage,147,90,52,406
NAMEDExtraocularStriatedMuscle,6134,5813,316,30232
NonOverlappingBodyStructure,35,19,12,82
DrugEffectDecreasing,15,10,0,30
MuscleOfTrunk,6134,5813,316,30232
CoughSymptom,6142,5821,316,30263
RestingProcess,66,31,30,163
SuperiorTemporalGyrus,6134,5813,316,30232
DrugDose,61,26,30,140
MentoLabialGroove,6134,5813,316,30232
CommonFibularNerve,6135,5814,316,30236
PthirusPubis,84,53,26,229
NeostigmineBromide,42,24,14,98
burningCharacter,17,13,0,39
Aardvark,84,53,26,223
MorbidJealousy,176,115,56,527
VasomotorProcess,47,18,24,103
Glycosuria,6208,5877,326,30507
TendonSheath,6134,5813,316,30232
UpperExtremityExamination,6275,5954,316,30807
CD8TSuppressorCellLymphocyte,6145,5824,316,30271
Vancomycin,74,33,36,174
LeftRegionOfBack,6135,5814,316,30237
AortoCoronaryBypassing,164,107,52,510
Premeditation,6137,5816,316,30244
Tissue,54,28,22,126
BNFChapter9_2Section,67,38,24,183
IrregularSinusRhythm,6152,5831,316,30305
RenalTumour,6173,5850,318,30386
ExaminationOfIris,6275,5954,316,30807
SurfaceLandmarksOfBone,6134,5813,316,30232
CentralArteryOfRetina,6134,5813,316,30232
EndovascularImplant,6134,5813,316,30232
SkinOfTrunk,6134,5813,316,30232
Amnesia,6159,5836,318,30332
ChemicalBase,63,28,30,154
NAMEDVascularPlexus,6134,5813,316,30232
PlexusPulmonalisPosterior,6135,5814,316,30235
OrodentalSystem,14,10,0,29
DesmopressinAcetate,6161,5840,316,30336
ElationSymptom,173,106,62,484
CarbapenemChemicalAsDrug,73,32,36,170
PortionOfStomach,6134,5813,316,30232
TCellLymphoblast,6137,5816,316,30241
decreased,18,13,0,40
GemcitabineHydrochloride,42,24,14,98
PosteriorTricuspidChordae,6134,5813,316,30232
ReductionInBreastSize,6149,5828,316,30287
IncisingChestWall,6176,5853,318,30393
Propanol,31,17,10,69
IntendedOutcomeOfChangeProcess,27,8,14,50
FemaleUrethra,6134,5813,316,30232
PiperazineHydrate,42,24,14,98
OpaqueStructure,63,30,28,159
AnginaPectoris,6383,6050,328,31254
NAMEDPharmacologicalProcess,13,8,0,24
Cataplexy,6261,5924,332,30705
Clopamide,74,33,36,174
ThyroidAdenoma,6233,5906,322,30622
MitralStenosisLesion,6169,5846,318,30369
NAMEDEnzyme,69,32,32,167
Deionising,13,8,0,24
StructuralRole,10,6,0,17
SuperiorFasciaOfUrogenitalDiaphragm,6141,5820,316,30267
Hamamelididae,79,48,26,207
Spreading,14,9,0,27
MorbilliVirus,76,45,26,199
HypoxanthineGuaninePhosphoRibosylTransferase,70,33,32,170
MamillaryBodyNucleus,6137,5816,316,30244
SurgicalBypassing,163,106,52,507
ColdIntolerance,58,27,26,145
Trichosporon,113,68,40,312
T5Dermatome,6138,5817,316,30252
CerebralVasodilatation,6189,5862,322,30440
IschiocavernosusMuscle,6134,5813,316,30232
InflammatoryConditionsOfNose,6263,5942,316,30757
MenadiolSodiumPhosphate,105,58,42,284
MuscarinicReceptor,32,18,10,72
trapezoid,20,15,0,46
NonBodySubstance,43,21,18,96
ApplicationToAnogenitialRegion,16,11,0,34
ExtremityLongPart,146,87,54,439
Rigidity,13,9,0,27
AbductionOfUpperExtremity,6134,5813,316,30232
LinearSegmentOfUpperGastrointestinalTract,6134,5813,316,30232
SodiumImbalance,42,25,12,104
BismuthSalicylate,115,54,56,295
greaterSelection,15,11,0,32
BetahistineDihydrochloride,41,23,14,95
Tropicamide,41,23,14,95
ExternalAuditoryCanalExamination,6275,5954,316,30807
VesselOfCerebrovascularCirculation,6134,5813,316,30232
IlealBranch,6134,5813,316,30232
SymptomOfMajorBodyDivision,184,115,64,518
Bacillus,6162,5839,318,30342
NeuroanatomicalArea,6136,5815,316,30239
FishOil,144,83,56,390
CervicalSpine,6134,5813,316,30232
capsuleDrugForm,18,14,0,42
Flurbiprofen,77,36,36,186
MuscleOfMouth,6134,5813,316,30232
SpinalPathology,6134,5813,316,30232
HeparinSodium,45,27,14,108
CoxsackieVirus,77,46,26,202
Halothane,41,23,14,95
SquareKilometres,11,7,0,20
DorsalAspectOfUlnarBorderOfMiddleFinger,6134,5813,316,30232
LocalisedScalpAlopecia,6153,5830,318,30301
EndocrineSign,6172,5851,316,30384
SurgicalStraightening,35,20,10,78
SecondDegreeRelative,97,62,30,259
PsoriaticArthropathy,6299,5974,320,30893
NAMEDSurfaceBoneDivisions,6135,5814,316,30236
VonKraskeMethod,33,18,10,71
Arthropoda,78,47,26,205
Metformin,74,33,36,174
ExternalCarotidVein,6136,5815,316,30240
Worry,202,131,66,605
Intertrigo,6264,5943,316,30760
PosteriorSynechiae,6136,5815,316,30238
AngerSymptom,148,91,52,410
previouslySuccessfullyTreated,17,13,0,39
IxodesCookei,125,80,40,381
ErectorSpinaeLongissimusMuscle,6134,5813,316,30232
TotallyComplete,38,15,18,87
Cresol,41,23,14,95
CoveringDevice,52,23,24,122
OrbitalPlateOfFrontalBone,6134,5813,316,30232
ClobetasoneButyrate,75,34,36,177
NifedipineHydrochloride,73,32,36,170
Reptile,81,50,26,214
BrassFounderRole,11,7,0,20
PosteriorCruciateLigament,6134,5813,316,30232
ConnectiveTissueDiseaseClass,11,7,0,20
StraightCollectingTubuleOfNephron,50,32,14,130
ReadPersonalStatus,11,7,0,20
AdenomatoidHyperplasiaOfMinorSalivaryGland,6180,5857,318,30418
TurnerSyndrome,47,26,16,123
lobular,18,14,0,42
InactiveMicturation,6149,5826,318,30292
Talc,65,31,30,152
Urgent,16,12,0,36
LowErythrocyteCount,6249,5914,330,30669
OesophagealFibrosis,6160,5839,316,30336
SexualAbuse,84,45,34,231
SuperiorOrbitalSeptum,6134,5813,316,30232
VertebralPlexus,6135,5814,316,30236
BunyaVirusEncephalitis,6306,5983,318,30922
InferiorLeafletOfTricuspidValve,6134,5813,316,30232
CementalCaries,6139,5818,316,30251
BlockedNoseSymptom,6134,5813,316,30232
Papilloma,189,114,70,602
PulpitisOfTooth,6267,5946,316,30772
SodiumCalciumEdetate,93,48,40,245
BCellProlymphocyticLeukaemia,6336,5997,334,31025
BodyTemperatureSymptom,156,95,56,432
AerosolBasicDrugForm,61,26,30,143
GlossopharyngealNerveExamination,6275,5954,316,30807
Anorexia,106,59,42,298
ThermalConductivity,14,10,0,30
AxillaryLymphnodeExamination,6275,5954,316,30807
NonNormalSizedPenis,6177,5852,320,30393
Toxoplasmatidae,120,75,40,365
linerDrugForm,17,13,0,39
AcarusRhizoglypticusHyacinthi,123,78,40,373
GoldCompound,76,35,36,189
ApexOfHeart,6134,5813,316,30232
FattyAcid,31,17,10,69
Hypopyon,6153,5830,318,30320
moral,12,8,0,23
JugularPlexus,6135,5814,316,30235
WarmWeatherPeriod,13,9,0,26
EfferentRole,11,7,0,20
BismuthOxideAsDrug,91,46,40,233
CentralNervousSystemComponent,6134,5813,316,30232
Resin,30,16,10,66
Interleukin2AsDrug,44,26,14,105
VaginalPathology,6134,5813,316,30232
Chlorhexidine,41,23,14,95
IrrigatingForDrugAdministration,119,58,56,307
L5root,6134,5813,316,30232
PectinealLine,6134,5813,316,30232
BiotinAsDrug,43,25,14,102
SuspensoryLigamentOfLens,6134,5813,316,30232
Agenesis,114,65,44,327
HydrocortisoneSodiumPhosphate,120,59,56,316
FragileXSyndrome,91,50,36,256
NonNormalSizedOralMeatus,6177,5852,320,30393
HeadInjury,6154,5833,316,30311
NeurologicalComponentOfLowerLimb,6134,5813,316,30232
AutoimmuneHaemolyticAnaemia,6290,5955,330,30836
ToxicIntestinalParalysis,6540,6199,336,31867
Detachment,177,116,56,531
SuperiorCostotransverseLigament,6136,5815,316,30238
Aldosteronism,6457,6114,338,31532
briskDecayPhase,17,13,0,39
Hyracoidea,83,52,26,220
MedialPatellarRetinaculum,6134,5813,316,30232
Redcurrant,59,33,22,141
Scarlatina,6267,5928,334,30737
InertSolidStructure,29,15,10,64
ErythropoietinAsDrug,46,27,14,115
ForearmSwellingSymptom,6172,5851,316,30394
GoodQualityDiet,79,38,36,193
SurgicalRole,11,7,0,20
SurgicalAreaDecreasing,56,27,24,134
NormalBodyCavity,84,47,32,227
Glucocorticoid,37,19,14,82
VerapamilHydrochloride,42,24,14,98
C5C6IntervertebralSpace,6134,5813,316,30232
ArticularProcessOfCervicalVertebra,6134,5813,316,30232
AscorbicAcidAsDrug,46,28,14,113
Catalysing,13,8,0,24
ObstetricDisodrer,315,202,108,998
SuperiorPharyngealConstrictorMuscle,6134,5813,316,30232
UterineFundus,6134,5813,316,30232
OrthomyxoVirus,76,45,26,199
PituitaryDysfunction,6134,5813,316,30232
RetinacularLigament,6135,5814,316,30237
ExternalObturatorMuscle,6134,5813,316,30232
CentralVein,6134,5813,316,30232
PosteriorSuperiorPancreaticoduodenalArtery,6134,5813,316,30232
MaximumLevel,27,13,10,54
PlexusVenosusVesicalis,6136,5815,316,30240
Pecora,85,54,26,226
Dibenzoylmethane,41,23,14,95
LymphVesselFistula,6150,5829,316,30296
Adenitis,6263,5942,316,30757
SuperiorNasalMeatus,6134,5813,316,30232
ParietalLobeExtraDuralSpace,6134,5813,316,30232
FallingAsleepProcess,149,88,56,407
HumeralNutrientArtery,6134,5813,316,30232
SerumTriglycerideTest,6238,5905,328,30639
AtrophicGlossitis,6315,5992,318,30961
Cobalamin,31,17,10,69
BodyRotatingInSagitallPlaneSensation,6136,5815,316,30238
RadioLunateLigament,6136,5815,316,30240
FaecalContinence,6134,5813,316,30232
AminobenzoicAcid,41,23,14,95
SlitLamp,6208,5879,324,30510
CommonIliacLymphnode,6134,5813,316,30232
BitemporalHeadache,6243,5920,318,30679
DyingProcess,32,17,10,69
GastrointestinalInvestigation,6189,5858,326,30448
Ganciclovir,41,23,14,95
OlfactorySignal,6134,5813,316,30232
Waist,49,31,14,127
DentalCalculus,6144,5823,316,30274
AutogenousSpongiosaGraftTissue,116,61,50,316
Chymopapain,41,23,14,95
RaisedSerumLipidConcentration,6189,5860,324,30436
SuperiorObliqueMuscle,6134,5813,316,30232
SkinOfFoot,6134,5813,316,30232
ProximalHeadOfUlna,6134,5813,316,30232
SurgicalProstheticImplantDevice,83,40,38,214
Ursidae,85,54,26,226
IntraCardiacDrugAdministration,6262,5941,316,30746
DiffuseGoitre,6178,5855,318,30412
Semitendinosus,6134,5813,316,30232
TwoAndAHalfDimensionalBodyStructure,74,37,32,191
RingFinger,6134,5813,316,30232
PalmarAspectOfRadialBorderOfThumb,6134,5813,316,30232
IncisiveNerve,6134,5813,316,30232
SpecimenRole,11,7,0,20
FunctionalFeature,12,8,0,24
Isthmus,47,29,14,121
PolycythaemiaRubraVera,6337,5996,336,31028
FoodEnergyUnit,11,7,0,20
ForeignBodyInNoseSymptom,6165,5844,316,30354
PiriformisMuscle,6134,5813,316,30232
QuadtrateLobeOfLiver,6135,5814,316,30235
